source,mode,n,mean,std,min,max,q10,q25,q50,q75,q90
prequant,l2_mean,2000,11.632503509521484,0.5387991070747375,9.609375,16.40625,11.225781440734863,11.546875,11.5546875,11.626953125,12.141406059265137
prequant,token_diff_l2_mean,2000,15.038022994995117,0.7211506366729736,12.78125,21.5,14.655468940734863,14.796875,14.8125,15.0703125,15.883593559265137
quantized,l2_mean,2000,12.832929611206055,0.2726675271987915,11.4296875,13.90625,12.609375,12.7578125,12.765625,12.9296875,13.234375
quantized,token_diff_l2_mean,2000,10.014320373535156,1.3874927759170532,8.5859375,14.890625,8.9453125,8.9453125,9.140625,10.986328125,12.117968559265137
velocity,l2_mean,2000,0.015394390560686588,0.018214445561170578,0.002199883572757244,0.1533108949661255,0.002366524189710617,0.0024515173863619566,0.0036793069448322058,0.024690285325050354,0.03969528526067734
velocity,token_diff_l2_mean,2000,0.015472802333533764,0.018026506528258324,0.002213693456724286,0.14627036452293396,0.00236584828235209,0.0024533653631806374,0.003836752148345113,0.025238923728466034,0.04007307067513466
