source,mode,n,mean,std,min,max,q10,q25,q50,q75,q90
quantized,token_diff_l2_mean,4296,2.48905873298645,0.34651967883110046,1.4990234375,3.755859375,2.05078125,2.251953125,2.474609375,2.712890625,2.947265625
velocity,token_diff_l2_mean,4296,0.0016042484203353524,0.00089671352179721,0.00013612890325021,0.006001760717481375,0.0007158977095969021,0.001072521903552115,0.0013778709108009934,0.0019120513461530209,0.00291593826841563
