source,mode,auc,cohens_d,ks,qgap_med,qgap_90_10,pearson_r,spearman_r,n_pos,n_neg,n_used
quantized,token_diff_l2_mean,0.5007244733481728,0.012084080532640762,0.029740215335877916,-0.0107421875,0.8957031249999998,0.007623074089152926,0.009195570129939563,826,3470,4296
velocity,token_diff_l2_mean,1.0,3.6034886956741174,1.0,0.001715037738904357,0.0035291869891807435,0.9999999999999997,0.9999999999999998,826,3470,4296
