source,mode,auc,cohens_d,ks,qgap_med,qgap_90_10,pearson_r,spearman_r,n_pos,n_neg,n_used
prequant,l2_mean,0.6387142181352471,0.6620351832720331,0.48135157344696866,0.2265625,1.40625,0.30036240816116333,0.19327071809822904,531,1469,2000
prequant,token_diff_l2_mean,0.7336928025393602,0.9923040500548156,0.5796184549746871,0.5234375,2.0953125000000004,0.45159152150154114,0.3711116844549222,531,1469,2000
quantized,l2_mean,0.7046186152230851,0.6993869043574111,0.563961545512468,0.21875,0.7437500000000004,0.28505825996398926,0.3335730723090905,531,1469,2000
quantized,token_diff_l2_mean,0.9081007488087134,1.950569778581046,0.7215382820602559,2.515625,4.2265625,0.6969303488731384,0.804217549003763,531,1469,2000
velocity,l2_mean,1.0,3.3128324865335848,1.0,0.033027482917532325,0.05867984681390226,0.9999998807907104,1.0,531,1469,2000
velocity,token_diff_l2_mean,0.9249127287225383,1.8679849637609363,0.7587056544608667,0.02867704792879522,0.05235811294987798,0.691319465637207,0.8390385116389069,531,1469,2000
