,prequant/l2_mean,prequant/token_diff_l2_mean,quantized/l2_mean,quantized/token_diff_l2_mean,velocity/l2_mean,velocity/token_diff_l2_mean
prequant/l2_mean,1.0,0.6410626173019409,0.36306458711624146,0.25588956475257874,0.30036240816116333,0.29164862632751465
prequant/token_diff_l2_mean,0.6410626173019409,0.9999998807907104,0.37758153676986694,0.45441335439682007,0.45159152150154114,0.46508240699768066
quantized/l2_mean,0.36306458711624146,0.37758153676986694,1.0,0.36365002393722534,0.2850582003593445,0.30697959661483765
quantized/token_diff_l2_mean,0.25588956475257874,0.4544133245944977,0.36364999413490295,1.0,0.6969303488731384,0.8047285079956055
velocity/l2_mean,0.30036240816116333,0.45159152150154114,0.28505825996398926,0.6969303488731384,0.9999998807907104,0.691319465637207
velocity/token_diff_l2_mean,0.29164862632751465,0.46508240699768066,0.30697959661483765,0.8047285079956055,0.691319465637207,1.0
